samp_id,NDWI,sample,farm,sample_num
Quincy_2_dvac,0.26112192043338694,dvac,Quincy,2
Quincy_2_sweep,0.26112192043338694,sweep,Quincy,2
Quincy_3_dvac,0.48320652039133505,dvac,Quincy,3
Quincy_3_sweep,0.48320652039133505,sweep,Quincy,3
S. Patterson 1_1_dvac,0.49203439405257315,dvac,S. Patterson 1,1
S. Patterson 1_1_sweep,0.49203439405257315,sweep,S. Patterson 1,1
S. Patterson 1_2_dvac,0.5294298166916518,dvac,S. Patterson 1,2
S. Patterson 1_2_sweep,0.5294298166916518,sweep,S. Patterson 1,2
S. Patterson 1_3_dvac,0.4322574308670203,dvac,S. Patterson 1,3
S. Patterson 1_3_sweep,0.4322574308670203,sweep,S. Patterson 1,3
S. Patterson 2_1_dvac,0.45871464810114077,dvac,S. Patterson 2,1
S. Patterson 2_1_sweep,0.45871464810114077,sweep,S. Patterson 2,1
S. Patterson 2_2_dvac,0.4858580921608142,dvac,S. Patterson 2,2
S. Patterson 2_2_sweep,0.4858580921608142,sweep,S. Patterson 2,2
S. Patterson 2_3_dvac,0.4858580921608142,dvac,S. Patterson 2,3
S. Patterson 2_3_sweep,0.4858580921608142,sweep,S. Patterson 2,3
Tucker_1_dvac,0.28298666355839186,dvac,Tucker,1
Tucker_1_sweep,0.28298666355839186,sweep,Tucker,1
Tucker_2_dvac,0.3025633115113522,dvac,Tucker,2
Tucker_2_sweep,0.26399811228289743,sweep,Tucker,2
Tucker_3_dvac,0.32451446917990256,dvac,Tucker,3
Tucker_3_sweep,0.30846335253634766,sweep,Tucker,3
Turf Farm_1_dvac,0.3904577510114834,dvac,Turf Farm,1
Turf Farm_1_sweep,0.3904577510114834,sweep,Turf Farm,1
Turf Farm_2_dvac,0.5756414782617937,dvac,Turf Farm,2
Turf Farm_2_sweep,0.5756414782617937,sweep,Turf Farm,2
Turf Farm_3_dvac,0.5258238716549062,dvac,Turf Farm,3
Turf Farm_3_sweep,0.5258238716549062,sweep,Turf Farm,3
